mayo_bench_MAYO_1
KeyGen cycles, 68, 2003, 5957, 17, 205, 70093, 35624, 424, 624
KeyGen cycles, 76, 802, 2500, 17, 109, 76959, 40474, 478, 470
KeyGen cycles, 80, 1068, 3179, 17, 57, 76570, 40523, 402, 458
KeyGen cycles, 74, 1016, 3227, 18, 82, 76444, 39774, 360, 289
KeyGen cycles, 53, 922, 3270, 18, 58, 81540, 40121, 388, 390
KeyGen cycles, 58, 934, 3193, 17, 66, 77743, 40285, 515, 431
KeyGen cycles, 53, 903, 3250, 16, 55, 75316, 39531, 534, 404
KeyGen cycles, 54, 899, 3028, 16, 59, 74774, 39133, 439, 386
KeyGen cycles, 63, 891, 3026, 16, 68, 75319, 40761, 427, 630
KeyGen cycles, 61, 889, 3175, 19, 59, 76241, 41702, 537, 655
KeyGen cycles, 57, 918, 2997, 18, 74, 74642, 38472, 388, 464
KeyGen cycles, 94, 1312, 3670, 17, 74, 73718, 37364, 433, 392
KeyGen cycles, 78, 852, 2888, 16, 62, 69293, 24130, 339, 320
KeyGen cycles, 41, 669, 1745, 24, 50, 55443, 24394, 242, 254
KeyGen cycles, 51, 521, 1605, 17, 51, 161661, 30496, 292, 295
KeyGen cycles, 43, 952, 1907, 16, 50, 57599, 27790, 298, 433
KeyGen cycles, 58, 839, 3311, 17, 51, 60542, 28240, 255, 291
KeyGen cycles, 43, 626, 1844, 16, 53, 63410, 27809, 230, 281
KeyGen cycles, 43, 718, 1642, 15, 49, 62277, 28141, 230, 285
KeyGen cycles, 54, 574, 1772, 16, 47, 62339, 28460, 375, 398
KeyGen cycles, 53, 832, 2255, 15, 59, 67784, 34212, 353, 412
KeyGen cycles, 60, 1151, 4243, 18, 56, 69808, 32762, 445, 511
KeyGen cycles, 70, 1113, 3023, 19, 69, 72105, 33054, 369, 405
KeyGen cycles, 57, 1016, 3504, 17, 84, 71951, 33694, 404, 449
KeyGen cycles, 65, 965, 3214, 19, 66, 72377, 33111, 372, 439
KeyGen cycles, 55, 1049, 3198, 17, 70, 71501, 33326, 413, 464
KeyGen cycles, 57, 1201, 3305, 16, 74, 71362, 34638, 396, 433
KeyGen cycles, 63, 928, 3210, 15, 80, 71946, 33618, 386, 433
KeyGen cycles, 64, 957, 3345, 17, 63, 72629, 33326, 364, 439
KeyGen cycles, 51, 891, 3167, 16, 95, 72369, 30979, 390, 425
KeyGen cycles, 51, 1018, 3262, 19, 69, 72390, 34308, 456, 414
KeyGen cycles, 58, 991, 3475, 21, 74, 70797, 32261, 372, 431
KeyGen cycles, 50, 1034, 3102, 16, 68, 71072, 26906, 349, 384
KeyGen cycles, 50, 997, 2847, 17, 49, 84425, 29252, 304, 334
KeyGen cycles, 45, 907, 2217, 17, 63, 64488, 30485, 339, 324
KeyGen cycles, 49, 792, 2445, 16, 54, 64719, 35699, 356, 377
KeyGen cycles, 43, 786, 2601, 16, 56, 66603, 32093, 341, 392
KeyGen cycles, 46, 909, 2496, 18, 64, 69225, 32639, 513, 290
KeyGen cycles, 53, 1115, 2270, 16, 50, 61690, 28968, 279, 273
KeyGen cycles, 53, 659, 1710, 17, 51, 62010, 27415, 390, 269
KeyGen cycles, 43, 626, 2681, 20, 72, 58625, 30086, 221, 273
KeyGen cycles, 43, 676, 1648, 18, 50, 56371, 32235, 231, 267
KeyGen cycles, 53, 682, 1964, 16, 50, 56997, 27399, 256, 277
KeyGen cycles, 41, 610, 1720, 17, 47, 59547, 25465, 238, 262
KeyGen cycles, 43, 643, 1790, 16, 49, 56612, 26085, 273, 279
KeyGen cycles, 55, 608, 1882, 16, 50, 55181, 28385, 234, 277
KeyGen cycles, 54, 800, 1833, 17, 49, 57135, 26017, 240, 277
KeyGen cycles, 41, 593, 1722, 17, 51, 60187, 28333, 468, 406
KeyGen cycles, 52, 792, 3859, 16, 169, 68985, 25832, 316, 294
KeyGen cycles, 43, 920, 2229, 17, 47, 55195, 29901, 338, 392
KeyGen cycles, 72, 825, 3471, 16, 66, 56942, 27396, 341, 497
KeyGen cycles, 78, 790, 3114, 16, 51, 55653, 27885, 255, 259
KeyGen cycles, 53, 599, 2016, 17, 49, 61509, 31489, 335, 359
KeyGen cycles, 54, 849, 2669, 16, 47, 68809, 34045, 369, 509
KeyGen cycles, 66, 1352, 4081, 16, 152, 66727, 32506, 295, 433
KeyGen cycles, 139, 844, 3003, 20, 329, 116973, 72060, 377, 358
KeyGen cycles, 59, 909, 3482, 16, 58, 85221, 38758, 301, 374
KeyGen cycles, 78, 724, 3639, 19, 53, 116584, 36136, 275, 292
KeyGen cycles, 54, 2348, 2196, 15, 51, 68014, 38115, 304, 328
KeyGen cycles, 60, 827, 2711, 17, 49, 74400, 38400, 315, 342
KeyGen cycles, 43, 992, 2469, 17, 607, 89138, 37949, 318, 318
KeyGen cycles, 62, 1043, 3138, 17, 213, 127140, 33002, 647, 390
